epoch,acc,loss,val_acc,val_loss
0,0.5082744811971982,0.7694781581560771,0.7560456156730652,0.7009566903114319
1,0.9145769794782003,0.5422475198904674,0.8330012440681458,0.5586932539939881
2,0.9638654152552287,0.47128124634424845,0.9655762553215027,0.4683257520198822
3,0.9704203089078267,0.4328837056954702,0.9744799971580506,0.42882904410362244
4,0.9737765550613403,0.40522839029630026,0.9802034378051758,0.3999587059020996
5,0.9767921924591064,0.3799560725688934,0.9834765672683716,0.39380601048469543
6,0.9789025108019511,0.36016556024551394,0.9833465695381165,0.3734008312225342
7,0.980298646291097,0.34076859553654987,0.9857512593269349,0.3437925219535828
8,0.9806981245676677,0.32277248104413353,0.9850131154060364,0.3269611239433289
9,0.9798010428746541,0.3065974136193593,0.9845134377479553,0.3086883306503296
10,0.981982394059499,0.29105088114738464,0.9849812626838684,0.30108598470687864
11,0.9833888530731201,0.2757117509841919,0.9853853225708008,0.2764635026454926
12,0.9827308416366577,0.26162079771359764,0.9836778163909912,0.2677682101726532
13,0.9832961440086365,0.24807893733183542,0.984834361076355,0.2579123258590698
14,0.9829161485036214,0.2358944962422053,0.9846006274223328,0.24605188965797425
15,0.984698228041331,0.223479758699735,0.9853971838951111,0.22948125302791594
16,0.9841684381167094,0.212561630209287,0.9819318652153015,0.2286026030778885
17,0.9846833388010661,0.2016999453306198,0.9850628137588501,0.21549707651138306
18,0.9840484340985616,0.1922563135623932,0.9839393734931946,0.2012629270553589
19,0.9830836455027262,0.18339519202709198,0.9861596941947937,0.18800589740276336
20,0.9835506280263265,0.1756189465522766,0.9822425007820129,0.17801398932933807
21,0.9835926095644633,0.1701486070950826,0.978816556930542,0.17970477938652038
22,0.9818489631017049,0.16157258450984954,0.9863684415817261,0.15584816336631774
23,0.9850546797116597,0.15202476978302001,0.9897556185722352,0.14464685916900635
24,0.9848955273628235,0.1449675609668096,0.9890775084495544,0.14279142320156096
25,0.9829601009686788,0.1385838677485784,0.9900421857833862,0.13164437115192412
26,0.984709374109904,0.13205515444278718,0.9914312481880188,0.12399579584598541
27,0.985236672560374,0.12618595560391743,0.989840316772461,0.12013744860887528
28,0.9843734383583069,0.12132292588551839,0.9909934401512146,0.1146067813038826
29,0.9845130125681559,0.11615727543830871,0.9901071786880493,0.11150207817554474
30,0.9837865670522054,0.1113957037528356,0.9906103134155273,0.10483876913785935
31,0.9849646846453349,0.10708531240622203,0.9908540606498718,0.1011185571551323
32,0.9846011439959208,0.10267164955536524,0.9915359497070313,0.09781762063503266
33,0.9843664487202962,0.09905375887950262,0.9902821898460388,0.09590976685285568
34,0.9833013574282329,0.09566748191912969,0.9911287426948547,0.09185366034507751
35,0.9846046845118205,0.09205938031276067,0.9910962462425232,0.08762581646442413
36,0.9837809324264526,0.08848501791556676,0.9909440636634826,0.08571864813566207
37,0.9835418780644735,0.08540731569131216,0.9903678178787232,0.08341554999351501
38,0.9846920768419901,0.08257832874854405,0.9913553118705749,0.0781968280673027
39,0.9845100005467733,0.07981570065021515,0.9901553153991699,0.07760413140058517
40,0.98462499777476,0.0774341771999995,0.9909831285476685,0.07438003718852997
41,0.9859115640322368,0.07462632308403651,0.9916056156158447,0.0704686999320984
42,0.9834491650263468,0.07261525591214497,0.9911537528038025,0.06995534598827362
43,0.984243647257487,0.07072042872508368,0.9911228060722351,0.06784209012985229
